// Adapted from:
// http://wiki.uqm.stack.nl/List_of_planets
// and
// http://wiki.uqm.stack.nl/script/images/9/9c/PlanetDatabase.zip
//
// Data compiled by Scott A. Colcord (Elestan on http://forum.uqm.stack.nl)
// and published 2011/06/29.
//
// The order of starsystems in this document
// appears to match that in plandata.c.
//
// 0, 	1,   2,3,4,      5,        6,       7,    8,     9,   10,    11,       12,     13,     14,       15,      16,      17,       18,  19,       20,     21,    22,     23,  24, 25,        26,        27
Cluster,Star,X,Y,DistSol,StarColor,StarSize,Fleet,Planet,Type,Hazard,Tectonics,Weather,Thermal,BioHazard,BioUnits,MinValue,MinVolume,Fuel,AxialTilt,Density,Radius,Gravity,Temp,Day,Atmosphere,LifeChance,DistFromStar
,,,,,,,,II-a,Radioactive,2,,1,,,,1104,138,1.3,-4,203,33,66,,12076,0,-740,
,,,,,,,,II-b,Azure,5,5,2,,,,120,40,0.3,-13,59,30,17,,245,15,460,
,,,,,,,,II-c,,4,4,,,,,93,31,,-25,,28,16,,169,,,
,,,,,,,,II-d,Pellucid,3,3,1,,,,200,8,,0,60,25,15,,211,0,-740,
,,,,,,,,III,Iodine,5,5,2,,5,54,157,65,1.3,-9,59,110,64,-157,236,15,260,4162
,,,,,,,,IV,Ultraviolet,,4,3,,4,60,857,237,3.0,30,155,104,161,-168,32336,99,360,5125
,,,,,,,,V,Gas Giant,8,1,8,,1,0,0,0,,23,20,1325,265,-178,128,65535,-1,6269
,,,,,,,,V-a,Treasure,1,,1,,,,1440,240,1.2,8,196,30,58,,250,0,-940,
,,,,,,,,VI,Chondrite,7,7,,,,,30,30,0.5,6,96,25,24,-189,288,,,7894
Ceti,Zeta,289.5,468.7,343.2,,,,I,Halide,3,3,,,,,82,41,0.4,0,58,37,21,-85,189,,-740,1597
,,,,,,,,II,Green,5,5,3,,,,0,0,0.6,17,104,31,32,-111,178,89,560,2172
,,,,,,,,III,Primordial,8,8,,,5,86,293,137,1.5,-5,98,78,76,-136,274,88,,2996
,,,,,,,,IV,Gas Giant,,2,8,,1,0,0,0,1.3,-2,20,316,63,-158,90,65535,-1,4249
,,,,,,,,IV-a,Cyanic,1,1,1,,,,32,32,0.2,,32,37,11,,232,0,-940,
,,,,,,,,IV-b,,2,2,,,,,35,35,,-31,33,29,9,,201,,,
,,,,,,,,IV-c,Selenic,1,1,,,,,198,66,0.3,-5,63,26,16,,154,,,
,,,,,,,,IV-d,Azure,5,5,2,,,,84,28,,-3,59,,15,,25545,10,160,
,,,,,,,,V,Redux,4,4,1,,,,344,172,1.6,14,101,80,80,-171,263,0,-940,5386
,,,,,,,,VI,Plutonic,,,2,,,,1131,271,2.8,-7,143,99,141,-187,296,75,360,7589
,Epsilon,270.8,470.8,339.5,blue,,,I,Sapphire,3,3,1,,,,700,28,1.0,14,58,90,52,-17,299,0,-540,1353
,,,,,,,,II,Water,4,4,2,,,,271,77,2.1,31,96,110,105,-94,181,12,360,2765
,,,,,,,,II-a,Treasure,3,3,1,,,,1182,197,1.1,-19,191,30,57,,231,0,-740,
,,,,,,,,III,Urea,6,6,3,,,,36,36,0.4,-3,63,34,21,-140,217,111,410,5012
,,,,,,,,IV,Noble,3,3,1,,,,319,88,0.2,-9,32,25,8,-166,13794,0,-940,7691
Cygnus,Gamma,056.2,,346.8,green,,,I,Chlorine,6,6,,,,,103,70,1.6,-8,101,82,82,-120,47990,,-740,2397
,Delta,041.6,471.7,352.9,red,,,,Maroon,3,2,3,,2,120,290,138,1.2,1,60,99,59,-167,210,11,160,319
,,,,,,,,II,Metal,4,4,,,1,0,734,220,0.9,-10,157,29,45,-216,261,91,360,1087
,,,,,,,,III,Gas Giant,8,3,8,,,,0,0,3.0,13,21,1250,262,-243,129,65535,-1,3766
,,,,,,,,III-a,Azure,4,4,2,,,,183,61,0.4,-6,58,36,20,,166,12,160,
,,,,,,,,III-b,Chondrite,8,7,1,,7,62,66,66,0.6,9,97,34,32,,188,0,-940,
,,,,,,,,III-c,Azure,3,3,2,,1,0,87,29,0.4,-18,62,32,19,,212,15,260,
,,,,,,,,III-d,Cimmerian,,,1,,,,66,66,0.7,-4,145,26,37,,167,0,-940,
,,,,,,,,IV,Azure,5,5,,,,,135,45,0.3,-10,62,29,17,-251,204,15,260,7137
Cancri,,509.4,493.1,482.5,,,Ur-Quan,I,Gas Giant,8,1,8,,,,0,0,3.0,-24,21,1028,215,-250,124,65535,-1,6569
,,,,,,,,I-a,Noble,2,2,1,,,,254,86,0.2,-2,33,27,8,,19844,0,-940,
,,,,,,,,I-b,Cimmerian,3,3,,,,,52,52,0.9,32,144,30,43,,264,,,
,,,,,,,,I-c,Pellucid,,,,,,,225,9,0.3,-23,59,25,14,,217,,,
,,,,,,,,I-d,Infrared,,,2,,,,150,50,0.6,5,103,31,31,,216,78,360,
Pyxidis,Beta,900.0,500.0,807.0,,,None,I,Purple,4,4,1,,,,123,41,0.4,-26,62,33,20,-173,212,0,-940,356
,,,,,,,,II,Cimmerian,,,,,,,92,92,0.8,30,153,26,39,-246,152,,,4836
,Alpha,895.8,,803.2,blue,giant,,I,Gas Giant,10,3,8,8,,,0,0,3.0,-29,20,1007,201,1147,153,65535,-1,6947
,,,,,,,,I-a,Auric,8,,4,,,,1848,308,1.0,-35,145,36,52,834,249,260,-290,
,,,,,,,,I-b,Azure,7,5,,7,,,0,0,0.3,13,63,26,16,753,282,280,,
,,,,,,,,II,Gas Giant,10,2,8,8,,,,,2.3,-4,20,570,114,1422,82,65535,-1,7569
,,,,,,,,II-a,Selenic,6,3,2,6,,,153,51,0.4,13,60,30,18,507,29340,107,-290,
,,,,,,,,II-b,Opalescent,5,2,1,5,,,348,142,0.3,14,58,25,14,268,190,0,-1040,
,,,,,,,,II-c,Oolite,8,4,6,8,,,1536,292,1.1,4,153,35,53,1131,283,2797,-540,
,,,,,,,,II-d,Lanthanide,6,5,2,6,,,880,176,1.0,-7,144,36,51,534,172,99,-140,
Cancri,Gamma,500.6,501.1,482.3,orange,dwarf,Ur-Quan,I,Maroon,2,1,,1,,,274,144,1.2,-13,60,99,59,-214,190,14,160,4061
,,,,,,,,II,Carbide,3,3,1,,,,133,133,0.7,9,103,34,35,-217,151,0,-940,4511
,,,,,,,,III,Maroon,2,2,,,,,322,140,1.1,5,59,97,57,-227,269,13,160,6653
,,,,,,,,III-a,Pellucid,3,3,,,,,125,5,0.4,8,61,35,21,,178,0,-940,
Reticuli,Alpha,731.2,506.2,663.0,,,Kohr-Ah,I,Infrared,4,2,4,,,,60,20,0.6,6,105,29,30,-89,35525,111,410,421
,,,,,,,,II,Maroon,2,,2,,,,314,126,1.3,-11,59,108,63,-213,289,12,160,3874
,,,,,,,,III,Gas Giant,8,1,8,,,,0,0,2.4,-16,20,607,121,-220,102,65535,-1,5014
,,,,,,,,III-a,Alkali,4,4,2,,,,96,32,0.6,5,105,31,32,,212,12,160,
,,,,,,,,III-b,Crimson,,3,3,,,42,199,70,,18,99,29,28,,34131,94,360,
,,,,,,,,III-c,Dust,,4,2,,,0,84,28,0.4,5,62,33,20,,281,11,160,
,,,,,,,,IV,Vinylogous,3,3,1,,,,89,37,1.7,0,99,86,85,-224,223,0,-940,5722
,,,,,,,,V,Iodine,4,4,,,,,82,31,1.1,-6,62,93,57,-227,256,12,160,6624
,,,,,,,,VI,Cimmerian,2,2,,,,,46,46,1.0,9,150,34,51,-230,171,0,-940,7369
Cassiopeiae,Gamma,367.9,506.8,409.9,yellow,,ZoqFot,I,Azure,5,5,4,2,2,96,66,22,0.4,-7,63,32,20,51,,91,710,451
,,,,,,,,II,Gas Giant,8,1,8,1,1,0,0,0,3.0,-6,20,1009,201,-116,120,65535,-1,1292
,,,,,,,,II-a,Cyanic,3,3,1,,,,70,70,0.2,-9,32,35,11,,290,0,-740,
,,,,,,,,II-b,Halide,,,,,,,602,166,0.4,6,62,37,22,,212,,,
,,,,,,,,II-c,Purple,,,,,,,156,52,,13,,35,21,,171,,,
,,,,,,,,II-d,Acid,2,2,,,,,297,297,0.7,-11,105,32,33,,170,,,
,,,,,,,,III,Metal,4,4,3,,,6,668,189,0.8,32,151,26,39,-175,178,83,360,3266
,,,,,,,,IV,Gas Giant,8,3,8,,,0,0,0,2.6,12,20,661,132,-191,80,65535,-1,4735
,,,,,,,,IV-a,Dust,2,2,2,,,,111,37,0.4,4,63,33,20,,246,11,160,
,,,,,,,,IV-b,Radioactive,3,3,1,,,,904,113,1.4,-1,199,36,71,,291,0,-940,
,,,,,,,,V,Noble,,,,,,,119,35,0.2,-15,33,25,8,-204,223,,,6601
Pyxidis,,906.2,508.3,816.3,orange,,None,I,Copper,,2,3,,,,246,82,1.0,18,146,36,52,-139,251,11,360,794
,,,,,,,,II,Halide,,3,1,,,,476,136,0.4,-6,59,37,21,-177,14430,0,-940,1525
,,,,,,,,III,Alkali,2,2,2,,,,249,83,0.5,,97,28,27,-194,205,10,160,2236
,,,,,,,,IV,Green,4,4,3,,,,290,58,0.7,-1,103,36,37,-200,34224,86,360,2651
,,,,,,,,V,Dust,2,2,2,,,,177,59,0.3,39,61,29,17,-209,42218,15,260,3443
,,,,,,,,VI,Gas Giant,8,3,8,,,,0,0,3.0,-2,21,1499,314,-217,95,65535,-1,4502
,,,,,,,,VI-a,Acid,3,,1,,,,150,150,0.8,-4,105,37,38,,180,0,-940,
,,,,,,,,VI-b,Crimson,4,,3,,,,125,43,0.5,7,100,26,26,,277,109,210,
,,,,,,,,VI-c,Copper,2,1,2,,,,381,127,0.8,-5,148,,38,,154,10,160,
,,,,,,,,VI-d,Carbide,5,5,1,,,,42,42,0.7,8,104,33,34,,191,0,-940,
,,,,,,,,VII,Gas Giant,8,3,8,,,,0,0,3.0,2,21,881,185,-223,115,65535,-1,5493
,,,,,,,,VII-a,Urea,6,6,3,,,,33,33,0.3,-6,60,25,15,,272,98,360,
,,,,,,,,VII-b,Super-Dense,,,,,,,90,30,1.0,34,196,27,52,,279,77,,
,,,,,,,,VII-c,Pellucid,1,1,1,,,,0,0,0.4,-18,63,31,19,,218,0,-940,
,,,,,,,,VII-d,Selenic,3,3,,,,,15,5,,1,59,34,20,,286,,,
,,,,,,,,VIII,Acid,4,4,,,,,202,202,0.6,-21,104,30,31,-228,197,,,6718
,,,,,,,,IX,Green,3,3,2,,,,530,106,0.7,-2,100,35,35,-229,174,104,210,7108
Reticuli,,741.6,,672.9,green,,Kohr-Ah,I,Rainbow,6,2,4,6,,,2161,334,1.2,-3,61,96,58,414,298,78,260,256
,,,,,,,,II,Green,5,5,3,1,,,315,63,0.5,20,102,27,27,-124,268,91,560,2542
,,,,,,,,III,Quasi-Degenerate,,,1,,,,0,0,0.8,-10,148,26,38,-141,59722,0,-740,3210
,,,,,,,,IV,Azure,,,,,,,93,31,0.4,11,59,33,19,-187,194,14,160,7636
Cancri,Beta,515.5,512.2,500.6,,,Ur-Quan,I,Magnetic,,,,,,,243,81,2.3,-9,157,75,117,-165,178,0,-940,4789
,,,,,,,,I-a,Copper,2,1,2,,,,495,165,1.1,1,155,36,55,,270,12,160,
,,,,,,,,I-b,Ultramarine,7,2,3,,7,104,232,66,0.2,9,33,31,10,,263,112,210,
Cassiopeiae,Delta,387.5,514.5,426.1,yellow,,ZoqFot,I,Copper,2,1,2,,1,0,549,183,1.1,11,148,37,54,-136,248,13,360,1684
,,,,,,,,II,Iodine,3,3,,,,,113,52,,17,59,94,55,-158,257,11,160,2401
,,,,,,,,III,Gas Giant,8,2,8,,,,0,0,3.0,18,21,1495,313,-197,96,65535,-1,5386
,,,,,,,,III-a,Noble,2,,1,,,,268,67,0.2,13,33,35,11,,171,0,-940,
,,,,,,,,IV,Copper,1,1,,,,,513,171,0.8,-5,151,27,40,-200,289,11,160,5874
,,,,,,,,V,Magma,8,8,,,,,60,20,3.0,-17,144,109,156,-210,196,0,-940,7845
Cancri,Alpha,493.7,,487.8,green,,Ur-Quan,I,Treasure,5,2,3,,5,10,384,64,1.4,28,200,35,70,-7,233,12,560,1010
,,,,,,,,II,Acid,4,4,1,,1,0,228,228,0.6,30,96,34,32,-97,237,0,-740,1813
,,,,,,,,III,Ultraviolet,5,,3,,5,69,1310,192,3.0,-42,148,105,155,-137,296,77,560,3025
,,,,,,,,III-a,Acid,,5,1,,1,0,160,160,0.6,13,102,30,30,,29340,0,-740,
Capricorni,,297.9,516.6,391.3,orange,giant,None,I,Iodine,7,6,3,2,6,24,114,57,1.3,18,59,111,65,71,271,76,710,3851
,Beta,303.5,517.8,394.2,,dwarf,,,Copper,3,2,,1,1,0,108,36,0.7,2,150,25,37,-118,255,14,360,590
,,,,,,,,II,Gas Giant,8,,8,,,,0,0,1.5,-10,21,354,74,-206,84,65535,-1,3098
,,,,,,,,II-a,Ultramarine,4,3,3,,2,89,268,62,0.2,-26,32,32,10,,184,89,360,
,,,,,,,,II-b,Radioactive,1,1,1,,1,0,1032,129,1.2,-5,209,28,58,,162,0,-940,
,,,,,,,,II-c,Pellucid,,,,,,,250,10,0.3,24,62,,17,,265,,,
,,,,,,,,II-d,Copper,3,3,2,,,,186,62,1.0,-26,157,32,50,,234,10,160,
,,,,,,,,III,Alkali,4,4,,,,,93,31,0.6,4,101,31,31,-211,277,13,,3569
,,,,,,,,IV,Azure,5,5,,,,,105,35,0.4,-25,63,29,18,-222,248,14,,5421
Cassiopeiae,Epsilon,399.4,518.5,435.6,red,,ZoqFot,I,Ruby,3,3,1,,,,3200,128,1.1,-11,60,92,55,-241,49969,0,-940,3280
,,,,,,,,II,Dust,4,4,,,,,123,41,0.3,-16,,27,16,-249,260,13,160,5954
,Alpha,354.1,518.7,414.3,blue,,,I,Gas Giant,8,2,8,,,,0,0,3.0,-5,20,857,171,-151,101,65535,-1,5877
,,,,,,,,I-a,Quasi-Degenerate,5,5,1,,,,275,11,1.0,19,151,32,48,,187,0,-740,
,,,,,,,,I-b,Cyanic,2,2,,,,,85,85,0.2,0,33,29,9,,267,,,
,,,,,,,,I-c,Carbide,,,,,,,63,63,0.5,17,104,26,27,,30825,,,
,,,,,,,,I-d,Noble,,,,,,,222,66,0.2,5,33,33,10,,281,,,
Maksutov,,597.7,524.6,567.9,green,,Ur-Quan,I,Quasi-Degenerate,4,4,,,,,1025,41,0.8,6,150,26,39,-85,274,,,1591
,,,,,,,,II,Gas Giant,8,3,8,,,,0,0,3.0,,20,1365,273,-151,144,65535,-1,3810
,,,,,,,,II-a,Auric,3,,2,,2,28,1146,191,1.1,-1,156,36,56,,291,10,360,
,,,,,,,,III,Lanthanide,7,7,1,,1,0,955,,,4,155,35,54,-160,287,0,-940,4395
,,,,,,,,IV,Plutonic,3,2,3,,,,1155,238,2.9,-20,151,97,146,-166,289,92,360,4927
,,,,,,,,IV-a,Opalescent,5,5,1,,,,154,80,0.3,-2,59,25,14,,189,0,-940,
,,,,,,,,V,Telluric,6,3,3,,6,56,165,45,2.2,2,104,104,108,-172,24121,76,360,5567
,,,,,,,,VI,Hydrocarbon,3,,1,,1,0,54,50,1.5,-5,96,81,77,-180,292,0,-940,6445
,,,,,,,,VI-a,Acid,,,,,,,98,98,0.5,-8,98,25,24,,167,,,
,,,,,,,,VII,Gas Giant,8,,8,,,,0,0,3.0,15,20,921,184,-184,94,65535,-1,7057
,,,,,,,,VII-a,Metal,3,,2,,2,20,636,146,0.7,-8,150,25,37,,167,107,210,
,,,,,,,,VIII,Fluorescent,2,2,1,,1,0,852,159,2.8,24,157,89,139,-189,274,0,-940,7908
Cassiopeiae,Beta,377.0,525.0,430.2,,,ZoqFot,I,Ultramarine,8,1,8,4,,,30,6,0.2,-25,32,35,11,178,229,3681,160,480
,,,,,,,,II,Chondrite,7,7,1,1,,,13,13,0.6,-20,105,29,30,-111,173,0,-740,2167
,,,,,,,,III,Copper,5,3,2,,5,45,84,28,0.8,-5,152,28,42,-129,157,14,360,2720
,,,,,,,,IV,Purple,2,2,1,,1,0,216,72,0.4,-34,60,36,21,-179,285,0,-940,6395
,,,,,,,,V,Plutonic,3,3,2,,,,749,238,2.9,-27,151,98,147,-187,18413,90,360,7609
,,,,,,,,V-a,Alkali,2,2,1,,,,198,66,0.6,-1,100,30,30,,225,10,160,
,,,,,,,,V-b,Carbide,5,5,,,,,111,111,,10,98,29,28,,180,0,-940,
Normae,Gamma,152.0,526.1,381.8,red,,Umgah,I,Chondrite,8,8,,,,,88,88,,7,96,31,29,-215,150,,,1039
,,,,,,,,II,Iodine,4,4,2,,,,147,65,1.1,8,60,95,57,-234,285,10,160,2308
,,,,,,,,III,,3,3,,,,,159,67,0.9,6,58,81,46,-245,196,12,,4365
,,,,,,,,IV,Purple,4,4,1,,,,105,35,0.3,11,59,29,17,-247,50541,0,-940,5231
,,,,,,,,V,Gas Giant,8,1,8,,,,0,0,3.0,24,21,818,171,-249,153,65535,-1,6031
,,,,,,,,V-a,Super-Dense,6,6,2,,5,18,159,53,1.1,-19,191,28,53,,173,87,360,
,,,,,,,,VI,Gas Giant,8,3,8,,1,0,0,0,3.0,12,21,1188,249,-251,144,65535,-1,7271
,,,,,,,,VI-a,Chondrite,7,7,1,,,,,,0.6,4,99,33,32,,221,0,-940,
,,,,,,,,VI-b,Dust,3,3,,,,,117,39,0.4,13,61,34,20,,163,13,160,
,,,,,,,,VI-c,Noble,1,1,,,,,212,53,0.2,-18,32,25,8,,253,0,-940,
,Delta,161.3,527.9,383.1,green,,,I,Water,5,4,4,3,4,104,78,26,1.6,31,97,81,78,100,209,81,710,575
,,,,,,,,II,Iodine,,5,2,1,1,19,175,79,1.2,8,58,106,61,-115,176,10,360,2275
,,,,,,,,III,Copper,3,3,,,,0,282,94,1.0,-2,143,35,50,-170,193,12,160,5339
,,,,,,,,IV,Redux,4,4,1,,,,257,115,2.0,29,104,96,99,-189,187,0,-940,7871
Reticuli,Beta,702.0,529.1,651.9,blue,,Kohr-Ah,I,Radioactive,6,2,4,6,,,704,88,1.1,-6,198,28,55,527,188,110,-290,296
,,,,,,,,II,Green,8,6,8,4,,,330,66,0.6,-10,102,30,30,197,180,3433,160,666
,,,,,,,,III,Urea,7,7,3,1,2,32,0,0,0.4,-7,58,34,19,-98,41796,97,560,2885
,,,,,,,,IV,Treasure,3,3,1,,1,0,792,132,1.4,1,202,36,72,-127,270,0,-740,4105
,,,,,,,,V,Lanthanide,6,6,,,,,595,119,1.0,-2,146,34,49,-148,216,,,5654
,,,,,,,,VI,Copper,1,1,,,,,474,158,0.7,6,143,26,37,-158,273,15,260,6690
,,,,,,,,VII,,2,2,,,,,540,180,,22,144,,,-164,249,14,160,7352
Normae,,141.6,531.5,387.9,white,,Umgah,I,Yttric,7,4,6,7,,,387,129,,-13,146,,,660,170,255,-290,849
,,,,,,,,II,Plutonic,,2,7,3,,,1036,283,2.3,38,147,78,114,127,,3693,310,1424
,,,,,,,,II-a,Oolite,,3,,,,,1020,195,1.0,-9,146,33,48,113,238,3069,,
,,,,,,,,II-b,Quasi-Degenerate,5,5,1,1,,,250,10,0.8,30,156,27,42,27,28115,0,-340,
,,,,,,,,III,Sapphire,1,1,,,,,3900,156,1.0,-27,63,79,49,-59,184,,-740,2761
,,,,,,,,IV,Gas Giant,8,3,8,,,,0,0,3.0,13,20,1220,244,-76,92,65535,-1,3277
,,,,,,,,V,,,1,,,,,,,,8,21,804,168,-113,106,,,4971
,,,,,,,,V-a,Opalescent,2,2,1,,,,234,73,0.3,-17,58,31,17,,264,0,-740,
,,,,,,,,VI,Oolite,4,3,3,,,,1016,184,1.1,-16,152,36,54,-122,222,111,410,5543
,,,,,,,,VII,Plutonic,5,5,2,,,,1310,321,3.0,27,156,103,160,-136,215,103,,6776
Capricorni,Gamma,299.3,531.8,406.2,red,,None,I,Selenic,3,3,1,,,,120,40,0.4,-40,61,36,21,-239,172,0,-940,2992
Normae,Alpha,142.5,540.4,396.7,blue,,Umgah,,Gas Giant,8,2,8,2,,,0,0,3.0,-10,21,1280,268,77,138,65535,-1,1454
,,,,,,,,I-a,Auric,4,3,3,1,2,5,744,124,0.9,-2,144,31,44,20,294,89,960,
,,,,,,,,I-b,Yttric,,,,,1,0,134,36,0.8,27,155,26,40,31,266,95,,
,,,,,,,,I-c,Oolite,7,2,5,2,7,33,1148,214,1.0,4,154,33,50,88,246,204,560,
,,,,,,,,I-d,Metal,5,,,,5,18,453,127,,-18,157,32,,74,284,238,,
,,,,,,,,II,Gas Giant,8,3,8,1,1,0,0,0,3.0,-3,20,856,171,-121,87,65535,-1,3825
,,,,,,,,II-a,Auric,5,,2,,5,44,954,159,1.0,-2,155,31,48,,203,10,360,
,,,,,,,,II-b,Oolite,,5,3,,1,0,775,145,1.1,-19,149,37,55,,199,96,560,
,,,,,,,,II-c,Auric,2,2,2,,,,1458,243,0.8,,152,25,38,,276,14,360,
,,,,,,,,II-d,Ultramarine,4,3,3,,2,40,169,41,0.2,-26,34,32,10,,234,99,560,
,Epsilon,185.4,541.6,,white,,,I,Oolite,10,,8,8,1,0,848,162,1.0,0,148,34,50,1141,194,2863,-540,392
,,,,,,,,II,Fluorescent,3,,2,2,,,1025,211,2.8,-3,146,97,141,71,150,12,510,1253
,,,,,,,,III,Gas Giant,8,,8,,,,0,0,3.0,-24,20,1359,271,94,141,65535,-1,1810
,,,,,,,,III-a,Lanthanide,6,6,2,1,5,71,695,139,0.8,34,153,27,41,19,279,10,760,
,,,,,,,,III-b,,8,8,,,1,0,1050,210,1.1,-16,157,35,54,18,183,,,
,,,,,,,,III-c,Opalescent,5,5,1,,,,158,43,0.4,-2,60,34,20,-8,242,0,-540,
,,,,,,,,IV,Auric,,3,3,,5,50,1188,198,0.8,6,151,28,42,15,27986,89,960,2317
,,,,,,,,V,Gas Giant,8,1,8,,1,0,0,0,1.6,-18,21,380,79,-78,151,65535,-1,3338
,,,,,,,,V-a,Alkali,2,2,2,,,,297,99,0.6,-3,103,31,31,,181,11,360,
,,,,,,,,V-b,Metal,4,4,3,,,,376,124,1.0,-12,154,33,50,,157,112,410,
,,,,,,,,VI,Auric,3,3,2,,,,1140,190,0.8,-16,157,27,42,-105,279,14,360,4514
,,,,,,,,VII,Cyanic,1,1,1,,,,134,134,0.2,1,32,30,9,-124,272,0,-740,5691
,,,,,,,,VIII,Acid,2,2,,,,,153,153,0.7,6,102,37,37,-134,,,,6584
,,,,,,,,IX,Treasure,,,,,,,654,109,1.5,,210,,77,-143,295,,,7439
Carinae,Alpha,362.5,543.7,440.5,green,giant,ZoqFot,I,Radioactive,6,1,3,6,,,2080,260,1.3,0,205,32,65,524,163,87,-140,5162
,Beta,341.6,,432.0,blue,dwarf,Ur-Quan,,Magnetic,7,7,1,3,,,171,57,3.0,-14,144,109,156,130,237,0,-590,553
,,,,,,,,II,Treasure,3,3,2,1,,7,1452,242,1.0,13,202,26,52,30,45520,13,760,1176
,,,,,,,,III,Gas Giant,8,2,8,2,,0,0,0,1.7,14,20,417,83,70,134,65535,-1,1628
,,,,,,,,III-a,Alkali,5,4,3,1,3,18,366,122,0.7,6,100,37,37,18,212,95,960,
,,,,,,,,III-b,Treasure,3,3,2,,1,90,780,130,1.4,22,199,35,69,-12,,14,560,
,,,,,,,,IV,Ultramarine,7,1,3,,7,107,104,28,0.2,-19,33,34,11,-80,229,104,410,2369
,,,,,,,,V,Metal,4,4,,,1,0,835,243,0.7,-5,145,26,37,-109,287,110,,3256
,,,,,,,,VI,Opalescent,2,2,1,,,,181,49,0.3,6,58,25,14,-126,158,0,-740,4095
,,,,,,,,VII,Xenolithic,4,4,2,,,,141,38,1.7,-14,99,87,86,-144,207,14,360,5275
,,,,,,,,VII-a,Green,7,3,3,,7,82,525,105,0.5,4,97,25,24,,211,89,560,
,,,,,,,,VII-b,Alkali,4,4,2,,1,0,147,49,0.7,11,101,36,36,,265,12,360,
,,,,,,,,VIII,Gas Giant,8,3,8,,,,0,0,3.0,-13,20,1495,299,-161,134,65535,-1,7022
,,,,,,,,IX,,,1,,,,,,,,42,21,1096,230,-166,118,,,7649
,,,,,,,,IX-a,Acid,3,3,1,,,,213,213,0.7,8,101,33,33,,31774,0,-940,
,,,,,,,,IX-b,Quasi-Degenerate,4,4,,,,,875,35,1.1,27,148,37,54,,211,,,
,,,,,,,,IX-c,Yttric,3,3,,,,,794,194,1.0,-8,150,32,48,,216,14,160,
,,,,,,,,IX-d,Treasure,,,,,,,1398,233,1.4,11,196,36,70,,265,0,-940,
Tucanae,Alpha,400.0,,457.7,green,,ZoqFot,I,Redux,5,2,3,,5,39,245,114,1.7,12,100,87,87,32,210,10,760,706
,,,,,,,,I-a,Auric,4,3,4,2,1,0,1578,263,0.9,20,145,31,44,67,43430,92,710,
,,,,,,,,II,Primordial,8,8,3,1,5,115,459,271,1.8,17,102,87,88,-147,256,89,560,3531
,,,,,,,,III,Treasure,2,2,1,,1,0,1008,168,1.5,9,209,37,77,-165,277,0,-940,4785
Maksutov,Beta,627.0,547.9,605.3,red,,Ur-Quan,I,Maroon,,1,2,,,,246,128,1.2,6,58,105,60,-220,236,11,160,1216
,,,,,,,,I-a,Azure,5,5,,,5,44,114,38,0.3,18,,28,16,,244,12,,
,,,,,,,,II,Gas Giant,8,1,8,,1,0,0,0,3.0,-44,20,1459,291,-240,147,65535,-1,3222
,,,,,,,,III,Pellucid,2,2,1,,,,,,0.4,-3,63,30,18,-245,290,0,-940,4246
Carinae,Gamma,358.3,,442.5,green,,ZoqFot,I,Gas Giant,8,,8,,,,,,3.0,-10,20,1092,218,-96,106,65535,-1,1807
,,,,,,,,I-a,Purple,4,4,1,,,,138,46,0.3,-7,60,29,17,,272,0,-740,
,,,,,,,,I-b,Cyanic,3,3,,,,,38,38,0.2,-19,32,37,11,,199,,,
Tucanae,,408.3,551.3,468.4,red,,Ur-Quan,I,Ultramarine,5,2,3,,5,23,269,70,,-12,,35,,-226,218,81,360,1578
,,,,,,,,II,Urea,6,6,2,,4,36,16,16,0.3,8,61,29,17,-251,198,78,,7156
Normae,Zeta,215.9,561.4,418.3,orange,,Umgah,I,Infrared,4,4,,,1,0,180,60,0.5,2,97,27,26,-225,45574,109,210,5982
Tucanae,Beta,393.7,562.5,471.2,,,Ur-Quan,,Azure,,3,3,,,,78,26,0.3,-16,59,25,14,-112,201,10,360,552
,,,,,,,,II,Gas Giant,8,1,8,,,,0,0,3.0,-8,21,1402,294,-199,81,65535,-1,2560
,,,,,,,,II-a,Ultramarine,3,,3,,2,120,145,46,0.2,28,32,26,8,,245,86,360,
,,,,,,,,II-b,Purple,4,4,1,,1,0,114,38,0.3,-39,62,25,15,,198,0,-940,
,,,,,,,,II-c,Halide,3,3,,,,,262,74,0.5,1,63,37,23,,165,,,
,,,,,,,,III,Alkali,4,,2,,4,30,192,64,,3,101,25,25,-214,271,12,160,4048
,,,,,,,,IV,Gas Giant,8,1,8,,1,0,0,0,3.0,-19,21,1349,283,-225,159,65535,-1,5970
,,,,,,,,IV-a,Cimmerian,2,2,1,,,,162,162,0.9,26,145,33,47,,218,0,-940,
,,,,,,,,IV-b,Chondrite,6,6,,,,,0,0,0.5,7,96,26,24,,32989,,,
,,,,,,,,V,Radioactive,3,3,,,,,1288,161,1.4,24,200,35,70,-230,192,,,7597
Crateris,Alpha,601.4,563.2,597.1,blue,giant,,I,Organic,8,4,4,8,,,161,,2.0,-3,102,99,100,1725,157,97,-140,699
,,,,,,,,II,Gas Giant,10,2,8,,,,0,0,2.2,-17,21,524,110,1763,81,65535,-1,2958
,,,,,,,,II-a,Cyanic,8,1,3,,,,74,74,0.2,-5,32,29,9,809,242,92,-140,
,,,,,,,,III,Gas Giant,10,3,8,,,,0,0,1.3,8,21,312,65,1531,100,65535,-1,4234
,,,,,,,,IV,Quasi-Degenerate,7,6,1,6,,,425,17,1.0,-11,154,32,49,354,299,0,-1040,5610
